date,open,high,low,close,volume,bar_count,average
20220427  11:13:00,402.41,404.045,402.39,403.66,,,
20220427  11:14:00,403.66,403.83,402.995,403.555,,,
20220427  11:15:00,403.555,405.02,403.555,404.37,,,
20220427  11:16:00,404.37,404.86,404.09,404.205,,,
20220427  11:17:00,404.205,404.28,403.5,403.53,,,
20220427  11:18:00,403.53,403.77,403.005,403.325,,,
20220427  11:19:00,403.325,404.135,403.2,404.02,,,
20220427  11:20:00,404.02,404.06,402.305,402.855,,,
20220427  11:21:00,402.855,403.595,402.44,402.915,,,
20220427  11:22:00,402.915,404.58,402.915,404.025,,,
20220427  11:23:00,404.025,404.745,403.925,404.33,,,
20220427  11:24:00,404.33,404.58,403.78,403.96,,,
20220427  11:25:00,403.96,404.475,403.875,404.205,,,
20220427  11:26:00,404.205,404.8,402.95,403.44,,,
20220427  11:27:00,403.44,403.605,403.12,403.28,,,
20220427  11:28:00,403.28,403.695,403.07,403.435,,,
20220427  11:29:00,403.435,404.205,402.97,403.95,,,
20220427  11:30:00,403.95,404.92,403.945,404.65,,,
20220427  11:31:00,404.65,405.39,404.63,405.38,,,
20220427  11:32:00,405.38,405.85,405.13,405.67,,,
20220427  11:33:00,405.67,406.395,405.635,406.07,,,
20220427  11:34:00,406.07,406.15,405.335,406.03,,,
20220427  11:35:00,406.03,406.34,405.735,405.85,,,
20220427  11:36:00,405.85,406.255,405.275,405.38,,,
20220427  11:37:00,405.38,405.385,404.54,405.005,,,
20220427  11:38:00,405.005,405.295,404.54,404.76,,,
20220427  11:39:00,404.76,405.245,404.435,404.475,,,
20220427  11:40:00,404.475,404.71,403.99,404.49,,,
20220427  11:41:00,404.49,405.42,404.49,405.32,,,
20220427  11:42:00,405.32,405.475,405.02,405.35,,,
20220427  11:43:00,405.35,405.725,404.855,405.205,,,
20220427  11:44:00,405.205,405.215,404.535,404.78,,,
20220427  11:45:00,404.78,404.78,403.735,403.97,,,
20220427  11:46:00,403.97,404.48,403.97,404.25,,,
20220427  11:47:00,404.25,404.33,403.915,404.005,,,
20220427  11:48:00,404.005,404.045,403.16,404.03,,,
20220427  11:49:00,404.03,404.045,403.565,403.675,,,
20220427  11:50:00,403.675,403.76,403.335,403.71,,,
20220427  11:51:00,403.71,403.79,403.0,403.24,,,
20220427  11:52:00,403.24,403.425,402.53,402.56,,,
20220427  11:53:00,402.56,402.91,402.035,402.18,,,
20220427  11:54:00,402.18,402.275,401.685,401.935,,,
20220427  11:55:00,401.935,402.21,401.705,402.09,,,
20220427  11:56:00,402.09,402.74,402.09,402.69,,,
20220427  11:57:00,402.69,402.755,401.98,402.375,,,
20220427  11:58:00,402.375,402.82,402.24,402.64,,,
20220427  11:59:00,402.64,402.68,402.29,402.345,,,
20220427  12:00:00,402.345,402.56,401.94,402.325,,,
20220427  12:01:00,402.325,402.335,400.635,401.065,,,
20220427  12:02:00,401.065,401.7,400.93,401.64,,,
20220427  12:03:00,401.64,402.115,401.64,401.915,,,
20220427  12:04:00,401.915,402.07,401.64,401.8,,,
20220427  12:05:00,401.8,403.12,401.8,403.07,,,
20220427  12:06:00,403.07,403.485,402.495,402.525,,,
20220427  12:07:00,402.525,403.02,402.215,402.995,,,
20220427  12:08:00,402.995,403.645,402.9,403.315,,,
20220427  12:09:00,403.315,403.325,402.95,402.985,,,
20220427  12:10:00,402.985,403.295,402.725,402.945,,,
20220427  12:11:00,402.945,403.255,402.4,402.74,,,
20220427  12:12:00,402.74,403.155,402.67,403.02,,,
20220427  12:13:00,403.02,403.865,403.02,403.79,,,
20220427  12:14:00,403.79,404.13,403.56,403.57,,,
20220427  12:15:00,403.57,403.875,403.215,403.85,,,
20220427  12:16:00,403.85,404.26,403.73,403.73,,,
20220427  12:17:00,403.73,404.015,403.57,403.845,,,
20220427  12:18:00,403.845,404.17,403.785,403.8,,,
20220427  12:19:00,403.8,403.805,403.18,403.375,,,
20220427  12:20:00,403.375,404.2,403.345,403.865,,,
20220427  12:21:00,403.865,405.33,403.865,405.29,,,
20220427  12:22:00,405.29,406.35,405.27,406.29,,,
20220427  12:23:00,406.29,406.77,406.08,406.77,,,
20220427  12:24:00,406.77,406.985,406.225,406.315,,,
20220427  12:25:00,406.315,406.355,405.99,406.255,,,
20220427  12:26:00,406.255,406.285,405.82,405.99,,,
20220427  12:27:00,405.99,406.575,405.75,406.165,,,
20220427  12:28:00,406.165,406.495,405.735,406.425,,,
20220427  12:29:00,406.425,406.515,406.02,406.18,,,
20220427  12:30:00,406.18,406.53,405.95,406.105,,,
20220427  12:31:00,406.105,406.285,405.735,406.075,,,
20220427  12:32:00,406.075,406.13,405.665,405.76,,,
20220427  12:33:00,405.76,405.83,405.37,405.39,,,
20220427  12:34:00,405.39,405.555,404.925,405.515,,,
20220427  12:35:00,405.515,405.91,405.31,405.425,,,
20220427  12:36:00,405.425,405.58,404.74,404.815,,,
20220427  12:37:00,404.815,405.3,404.72,404.855,,,
